"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
341.4267,105.7788,7.095311,8.4,63.3092,11.99607,0.6027149,3423,"B"
674.2395,229.2265,7.102941,11,70.23978,23.27182,0.2539885,21010,"B"
59.8653,273.1789,9.474654,11.1,70.22613,28.71826,0.4947867,2231,"C"
546.8105,165.6754,9.809835,10.7,71.94403,18.78715,0.383759,12940,"C"
237.0771,218.4857,6.904483,8.2,66.50974,23.41368,0.2543706,2000,"B"
226.5246,153.802,11.48219,11.3,73.44016,18.12395,0.2215686,4743,"C"
286.8498,224.2536,8.725688,10.1,70.21147,24.07778,0.4273916,14530,"C"
458.1774,214.0177,8.803032,10.3,69.08873,22.73428,0.4699222,15670,"C"
323.8893,334.1678,9.642802,10.4,68.88848,35.04543,0.3476112,10530,"C"
360.9936,214.1064,8.716098,9.6,70.62524,22.15775,0.3876898,13310,"C"
1743.544,242.6986,9.435859,9.9,77.05504,26.4702,0.2876966,37170,"C"
417.5676,320.3733,9.159267,10.3,77.88465,35.58389,0.4491833,21930,"C"
526.3299,283.6101,9.598534,10.8,74.50171,31.65022,0.3123209,23730,"C"
857.1636,210.8768,11.58046,11.9,73.79094,23.88484,0.2216789,23160,"D"
224.9208,135.5243,10.81526,11.1,71.13673,16.21211,0.4138277,6867,"C"
587.8989,151.9316,10.13223,10.8,70.79336,17.48239,0.3880191,15530,"C"
443.0745,227.2745,11.39919,11.9,70.30076,27.80614,0.5404945,17630,"D"
